City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
5,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Camacha,PT,76.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
22,Sur,OM,87.55,broken clouds,22.5667,59.5289,Sur Plaza Hotel
31,Lata,PT,77.04,broken clouds,40.1629,-8.3327,Casa Maquia
32,Katsuura,JP,75.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
33,Maluso,PH,78.89,overcast clouds,6.543,121.8753,RUSTANTO Fam
35,Jamestown,US,75.02,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Cabo San Lucas,MX,89.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
41,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Albany,US,77.04,few clouds,42.6001,-73.9662,RUSTANTO Fam
47,Gudivada,IN,78.35,overcast clouds,16.45,80.9833,Sri Venkata Lakshmi Tiffin Center
48,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
50,Pedasi,PA,82.15,overcast clouds,7.5333,-80.0333,Selina Pedasi
54,Moussoro,TD,87.37,overcast clouds,13.6408,16.4901,Hôtel Maltina
56,Monrovia,LR,78.78,overcast clouds,6.3005,-10.7969,Sunset Inn
59,Atuona,PF,78.04,broken clouds,-9.8,-139.0333,Villa Enata
60,Hithadhoo,MV,82.98,overcast clouds,-0.6,73.0833,Scoop Guest House
61,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
63,Belmonte,BR,82.4,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
64,Tautira,PF,78.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
67,Ixtapa,MX,88.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
75,Kavaratti,IN,82.04,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
76,Vermilion,US,86.31,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
79,Salvador,SV,75.36,overcast clouds,13.8333,-88.9167,Chico's Ranch
82,Butaritari,KI,82.94,light rain,3.0707,172.7902,Isles Sunset Lodge
84,Delano,US,88.32,clear sky,35.7688,-119.247,"Holiday Inn Express Delano Hwy 99, an IHG Hotel"
85,Caravelas,BR,78.96,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
88,Kavieng,PG,81.52,broken clouds,-2.5744,150.7967,Nusa Island Retreat
90,Fare,PF,77.02,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
92,Dakar,SN,83.28,broken clouds,14.6937,-17.4441,Redface Studios Meublés
93,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
95,Victoria,HK,87.96,light rain,22.2855,114.1577,Mini Hotel Central
97,Hit,IQ,85.48,clear sky,33.6416,42.8251,صالون زيرو
98,Kutum,SD,80.01,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
101,Ayapel,CO,83.01,overcast clouds,8.3137,-75.1398,Hotel Colsama
103,Borda Da Mata,BR,83.16,overcast clouds,-22.2742,-46.1653,Hotel Village
109,Bonthe,SL,78.62,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
113,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
117,Fairmont,US,78.26,clear sky,39.4851,-80.1426,Clarion Inn
119,Manokwari,ID,77.65,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
120,Harper,LR,78.91,scattered clouds,4.375,-7.7169,Screensaver
131,Bethel,US,77.49,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
132,Hamilton,US,82.65,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
134,East London,ZA,77.94,clear sky,-33.0153,27.9116,Tu Casa
139,Shache,CN,76.5,overcast clouds,38.4167,77.2406,Delong Hotel
140,Jieshi,CN,84.58,overcast clouds,22.8134,115.8257,Yuehai Hotel
142,Havelock,US,85.05,clear sky,34.8791,-76.9013,Sherwood Motel
149,Tabou,CI,78.48,few clouds,4.423,-7.3528,hotêl doufoulougou
154,Namatanai,PG,78.6,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
157,Sao Filipe,CV,80.13,overcast clouds,14.8961,-24.4956,Hotel Xaguate
159,Umm Lajj,SA,83.07,clear sky,25.0213,37.2685,Moon light Furnished Units
160,Sinnamary,GF,84.42,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
